POSTCODE,ConfirmedCaseCategory,ConfirmedCaseCount
85363,101-500,297
85364,Greater Than 1000,4444
85365,Greater Than 1000,1882
85367,101-500,490
85373,101-500,271
85374,501-1000,694
85375,101-500,348
85377,11-100,32
85378,101-500,272
85379,Greater Than 1000,1045
85381,501-1000,675
85382,501-1000,865
85383,501-1000,990
85387,101-500,279
85388,501-1000,596
85390,11-100,86
85392,Greater Than 1000,1533
85395,501-1000,900
85396,501-1000,567
85501,101-500,202
85530,0,0
85531,0,0
85532,1-10,1-10
85533,11-100,16
85534,1-10,1-10
85536,1-10,1-10
85539,11-100,70
85540,11-100,35
85541,101-500,313
85542,1-10,1-10
85542 Tribal,Data Suppressed,Data Suppressed
85543,101-500,180
85544,11-100,18
85545,0,0
85546,101-500,283
85550,101-500,448
85550 Tribal,Data Suppressed,Data Suppressed
85552,11-100,64
85553,1-10,1-10
85554,1-10,1-10
85601,1-10,1-10
85602,11-100,81
85603,11-100,62
85605,11-100,11
85606,1-10,1-10
85607,501-1000,869
85609,1-10,1-10
85610,1-10,1-10
85611,1-10,1-10
85613,11-100,24
85614,101-500,302
85615,11-100,35
85616,11-100,22
85617,1-10,1-10
85618,11-100,30
85619,0,0
85620,11-100,38
85621,Greater Than 1000,1527
85622,11-100,41
85623,11-100,25
85624,1-10,1-10
85625,1-10,1-10
85626,11-100,41
85629,101-500,433
85630,1-10,1-10
85631,11-100,20
85632,11-100,17
85633,0,0
85634,101-500,249
85635,101-500,276
85637,1-10,1-10
85638,1-10,1-10
85639,0,0
85640,0,0
85641,101-500,255
85643,101-500,171
85645,11-100,39
85646,11-100,14
85648,Greater Than 1000,1130
85650,11-100,93
85653,101-500,173
85658,101-500,111
85701,11-100,92
85704,101-500,478
85705,Greater Than 1000,1173
85706,Greater Than 1000,2512
85707,11-100,11
85708,11-100,12
85710,501-1000,820
85711,501-1000,781
85712,501-1000,684
85713,Greater Than 1000,1331
85714,501-1000,681
85715,101-500,195
85716,101-500,456
85718,101-500,242
85719,501-1000,567
85730,501-1000,536
85735,101-500,221
85736,11-100,64
85737,101-500,171
85739,11-100,75
85741,501-1000,516
85742,101-500,273
85743,101-500,314
85745,501-1000,682
85746,Greater Than 1000,1582
85747,101-500,322
85748,101-500,280
85749,101-500,148
85750,101-500,175
85755,101-500,110
85756,Greater Than 1000,1894
85757,501-1000,883
85901,101-500,390
85911,0,0
85911 Tribal,Data Suppressed,Data Suppressed
85920,1-10,1-10
85922,0,0
85923,1-10,1-10
85924,11-100,23
85925,11-100,56
85926 Tribal,Data Suppressed,Data Suppressed
85927,0,0
85928,1-10,1-10
85929,101-500,143
85930 Tribal,Data Suppressed,Data Suppressed
85931,0,0
85932,0,0
85933,11-100,31
85934,1-10,1-10
85935,101-500,110
85936,11-100,28
85937,101-500,122
85938,11-100,65
85939,11-100,44
85940,11-100,17
85941 Tribal,Data Suppressed,Data Suppressed
85942,0,0
86001,501-1000,546
86004,501-1000,668
86005,101-500,218
86015,1-10,1-10
86016,0,0
86016 Tribal,Data Suppressed,Data Suppressed
86017,11-100,11
86018,1-10,1-10
86020,0,0
86020 Tribal,Data Suppressed,Data Suppressed
86021,11-100,23
86022,11-100,14
86023,11-100,43
86024,1-10,1-10
86025,101-500,122
86029,11-100,29
86030 Tribal,Data Suppressed,Data Suppressed
86032,11-100,25
86033,0,0
86033 Tribal,Data Suppressed,Data Suppressed
86034 Tribal,Data Suppressed,Data Suppressed
86035,0,0
86035 Tribal,Data Suppressed,Data Suppressed
86036,1-10,1-10
86038,0,0
86040,101-500,373
86042,0,0
86042 Tribal,Data Suppressed,Data Suppressed
86043,0,0
86043 Tribal,Data Suppressed,Data Suppressed
86044,0,0
86044 Tribal,Data Suppressed,Data Suppressed
86045,0,0
86045 Tribal,Data Suppressed,Data Suppressed
86046,11-100,69
86047,501-1000,551
86052,0,0
86053 Tribal,Data Suppressed,Data Suppressed
86054,0,0
86054 Tribal,Data Suppressed,Data Suppressed
86301,101-500,241
86303,101-500,137
86305,101-500,115
86314,101-500,445
86315,11-100,71
86320,11-100,15
86321,11-100,13
86322,101-500,141
86323,101-500,115
86324,11-100,65
86325,11-100,29
86326,101-500,344
86327,11-100,99
86329,1-10,1-10
86331,1-10,1-10
86332,1-10,1-10
86333,11-100,50
86334,11-100,78
86335,11-100,43
86336,11-100,98
86337,1-10,1-10
86338,1-10,1-10
86343,1-10,1-10
86351,11-100,35
86401,101-500,263
86403,101-500,318
86404,101-500,280
86406,101-500,455
86409,101-500,200
86411,0,0
86413,11-100,90
86426,101-500,295
86429,11-100,97
86432,11-100,56
86433,0,0
86434,0,0
86434 Tribal,Data Suppressed,Data Suppressed
86435,0,0
86435 Tribal,Data Suppressed,Data Suppressed
86436,11-100,21
86437,1-10,1-10
86438,1-10,1-10
86440,101-500,254
86441,11-100,12
86442,501-1000,884
86443,0,0
86444,1-10,1-10
86445,1-10,1-10
86502,11-100,85
86502 Tribal,Data Suppressed,Data Suppressed
86503,0,0
86503 Tribal,Data Suppressed,Data Suppressed
86505,11-100,32
86505 Tribal,Data Suppressed,Data Suppressed
86507,0,0
86507 Tribal,Data Suppressed,Data Suppressed
86510 Tribal,Data Suppressed,Data Suppressed
86511,1-10,1-10
86511 Tribal,Data Suppressed,Data Suppressed
86514,0,0
86514 Tribal,Data Suppressed,Data Suppressed
86515,0,0
86515 Tribal,Data Suppressed,Data Suppressed
86538 Tribal,Data Suppressed,Data Suppressed
86556 Tribal,Data Suppressed,Data Suppressed
